clickability_test_id,headline,impressions,clicks
546e884b0f6b59d292000001,Mind Bent. This NASA Video About What Happened In The Atmosphere In 2006 Is What Did It.,3050,35
546e9e7f87942a5546000003,She Took Personal Photos She Found In An Awful Tragedy And Put Them All Over Facebook. Well Done.,3078,101
546e9e7f87942a5546000003,She Found Other People's Personal Photos In An Awful Tragedy. Then She Put Them All Over Facebook.,3039,69
546e9e7f87942a5546000003,A Touching Story About Taking Other People's Personal Photos And Posting Them On Facebook,3066,45
546eccc187942aedcb000013,"Colbert Asked Eva Longoria If She Produced A Tomato, But What She Really Produced Is So Much Better",3035,34
546eccc187942aedcb000013,Eva Longoria Got A Full Audience Of People To Laugh And Applaud A Tomato,2981,26
546eccc187942aedcb000013,"Eva Longoria Got A Full Audience Of People To Laugh, Applaud And Boo Over Tomatoes",3024,21
546eccc187942aedcb000013,"If You're Planning On Eating A BLT That's Heavy On The T, You Might Want To Watch This First",3095,62
546eccc187942aedcb000013,A Famous Actress Visits A Talk Show To Plug A Movie She's Not Even In,3038,36
546ee60687942a5546000028,A Bunch Of Schools In Oregon Tried An Experiment. And The Results? Just Wow.,3038,43
546ee60687942a5546000028,A Bunch Of Schools In Oregon Tried An Experiment. And The Results? Just Wow.,3013,82
546ee60687942a5546000028,A Bunch Of Schools In Oregon Tried An Experiment. And The Results? Just Wow.,2999,58
546ee60687942a5546000028,A Bunch Of Schools In Oregon Tried An Experiment. And The Results? Just Wow.,3093,38
546f486992f391bd48000025,"She Let Strangers Ask Her Questions About Lesbians, Then Her Raised-Eyebrow Game Shamed Us All",3029,84
546f486992f391bd48000025,People Ask This Lesbian Questions And Her Raised-Eyebrow Game Shames Us All,2985,103
546f486992f391bd48000025,People Ask This Lesbian Questions And Her Raised-Eyebrow Game Shames Us All,3093,81
546f486992f391bd48000025,People Ask This Lesbian Questions And Her Raised-Eyebrow Game Shames Us All,3076,109
546f4e0387942a3efd000029,Kim Jong Un Would Really Hate For You To Watch This Which Is Exactly Why You Should,3146,135
546f4e0387942a3efd000029,Kim Jong Un Would Really Hate For You To Watch This Which Is Exactly Why You Should,3008,114
546f4e0387942a3efd000029,This Dictator Would Really Hate For You To Watch This Which Is Exactly Why You Should,3035,98
546f4e0387942a3efd000029,This Dictator Would Really Hate For You To Watch This Which Is Exactly Why You Should,3018,86
546f5bad87942a5546000042,People Freak Out When He Hits Her In Public. Watch What Happens When She Hits Him.,3108,170
546f5bad87942a5546000042,People Freak Out When He Hits Her In Public. Watch What Happens When She Hits Him.,3113,136
546f5bad87942a5546000042,People Freak Out When He Hits Her In Public. Watch What Happens When She Hits Him.,2978,95
546f6cea87942a99a600003f,A Lot Of Celebs Stare Awkwardly At The Camera Without Saying A Word. Here's Why They're So Quiet.,3081,67
546f5bd487942a99a6000039,"When These Bright-Eyed Young People Shared Their Secret, My Stomach Dropped",3069,37
546f5bad87942a5546000042,People Freak Out When He Hits Her In Public. Watch What Happens When She Hits Him.,2985,145
546f5bd487942a99a6000039,"When These Bright-Eyed Young People Shared Their Secret, My Stomach Dropped",3019,47
546f5bd487942a99a6000039,"When These Bright-Eyed Young People Shared Their Secret, My Stomach Dropped",3064,23
546f5bd487942a99a6000039,"When These Bright-Eyed Young People Shared Their Secret, My Stomach Dropped",3092,36
546f5bd487942a99a6000039,"When These Bright-Eyed Young People Shared Their Secret, My Stomach Dropped",2967,27
546f6cea87942a99a600003f,A Bunch Of Celebs Have Actually Shut Up About Ebola,3077,68
546f889587942aedcb000048,I Thought They Were Just Sharing Their Passion. Then My Stomach Dropped.,3024,43
546f889587942aedcb000048,"When These Bright-Eyed Young People Shared Their Secret, My Stomach Dropped",3018,33
546f889587942aedcb000048,"When These Seemingly Okay Individuals Shared Their Secret, My Stomach Dropped",3061,35
546f889587942aedcb000048,"Their Secret Made My Stomach Drop, But It Also Binds Them Together",3059,25
546f8a4192f3914d3100005e,A Lot Of Celebs Stare Awkwardly At The Camera Without Saying A Word. Here's Why They're So Quiet.,3110,74
546f8a4192f3914d3100005e,A Lot Of Celebs Stare Awkwardly At The Camera Without Saying A Word. Here's Why They're So Quiet.,3010,63
546f8a4192f3914d3100005e,A Lot Of Celebs Stare Awkwardly At The Camera Without Saying A Word. Here's Why They're So Quiet.,3067,58
546f8a4192f3914d3100005e,A Lot Of Celebs Stare Awkwardly At The Camera Without Saying A Word. Here's Why They're So Quiet.,3052,65
546f88620f6b596759000059,This Is Probably Why LGBT Kids Need To Be Reminded It Gets Better,3017,10
546f88620f6b596759000059,LGBT Folks Have Made A Lot Of Progress. Except Not So Much In This One Place.,3083,14
546f88620f6b596759000059,"If You Think Anti-Gay Bias Is A Thing Of The Past, You’re Probably Not A High School Student",3027,17
546f88620f6b596759000059,Here's An 'F' Word That's Hurting A Lot More Kids Than The 'F' Word,3069,31
546f907787942a1fe2000052,"Ben Wakes Up And Goes To His Job On Capitol Hill Every Morning, Just Like So Many Others. But Not.",3083,20
546f907787942a1fe2000052,He Says He Does His Job Like Any Other Person. But He's The Only One.,3005,25
546f907787942a1fe2000052,"Tolerance In Washington? It’s True, I Swear. Meet Ben.",3042,11
546f907787942a1fe2000052,He's 1 Of Only 4 Who Has Ever Worked On Capitol Hill,3063,20
546fae960f6b59d292000063,"4 Years Ago, A TV Show Got Very, Very Daring. It Took A Ton Of Guts To Air This Scene.",3021,56
546fc2720f6b598c7b000067,A 13-Year-Old Came Out To His Best Bro And The Response Gave Me All The Feels,3030,51
546fae960f6b59d292000063,"4 Years Ago, A TV Show Got Very, Very Daring. It Took A Ton Of Guts To Air This Scene.",3066,80
546ff5410e78bdd64600000f,A Reading Of 'Dinner With Monoliths' By Joseph Lamour,3078,6
546ff5410e78bdd64600000f,How The First Dinner I Had With A Boyfriend And My Parents Went,3069,19
54737147d289f68ac400001a,"A Music Video With All Of My Favorite People, And They’re Not Even Real People",3011,20
5470911bbc296f1b1300001a,How One Artist Made His Parents More Uncomfortable Than They've Ever Been Before,2548,38
54709a23bc296ffe23000024,They Gave Each Kid A Barbie And A Doll With Real Proportions. What They Say Next Really Says It All.,2993,163
547278e0ce85339079000038,A 13-Year-Old Came Out To His Best Bro And The Response Gave Me All The Feels,3717,89
54737e84d1d9c6f452000015,"A Man Groped Her When She Was Walking Down The Street, But That's Not Why She's Angry",3044,49
547382b1d1d9c60be100001b,"Finally, Something That Makes Sense Coming Out Of Ferguson. From The Mouths Of Children.",3009,12
54739629d289f6df1400002e,How Some Old Records And Spray Paint Became The Foundation For A Movement That Changed The World,3637,7
5473b170109cd613f700005d,It Never Occurred To Me That You Could Explain Economic Inequality With Air Travel. This Guy Did It.,3851,71
54734674050a26e721000011,David Suzuki Blasts Canadian Mounties After They Arrest His Grandson,3779,19
547478cca341b93f81000048,Cops Thought The Black Teen Had A Rocket Launcher. So Neil Taught Them All A Lesson.,3021,46
5474944d1631de2f1200003f,Your Doctor Asks You This Question All The Time. Why Can't You Ever Answer It?,3052,35
54749cdedd782ff1b1000047,"You May Find These Things Gross, But Wait 'Til You See What They Can Do",3098,32
548f8b413335310012050000,"Poverty? Yes. Kids Running Amok? Yes. Healthy, Fresh Vegetables? Actually, Yes.",1976,2
5474e9f93134660024050000,Allow This Fuzzy Pink Puppet To Tell You The Story Of Her Trek Across The Abortion Desert,3066,9
5474e9f2323764001b080000,A Mother-Daughter Movement That Literally Inspires The Pants Off People,3053,33
546e419526714c1ad9000066,Feeling Down? Here's How To Make Every Minute Of Your Day Amazing,3048,11
5474f4e16635610018010000,Talking About Money Is Hard. Owing Money Is Harder. Doing What They Did Is Hardest. Do It Anyway.,3077,20
5474fabd353834001b090000,This Industry Has The Highest Rates Of Sexual Harassment. And A Lot Of Our Young Women Work In It.,3131,14
547517326530300018160000,The Truth About The Ferguson Case That Most People Won't Acknowledge,3029,80
547517326530300018160000,The Truth About The Ferguson Case That Most People Won't Acknowledge,3018,83
5475367061636104e6080000,This Little Girl's Disease Is Totally Manageable. Too Bad She Lives In The Wrong Country.,3630,18
54755bf46163612673010000,"The First Statistic Is Shocking. The Second, Sickening. But That's What Makes Her Story So Striking.",4275,27
54756e20326131001b1c0000,"The Next Time You Dismiss Your Chores, Here’s Something Important To Remember",3025,36
5475eeac6163610015520000,She Walked In The Classroom Saw Something Terrible And Took Her Seat Anyway. Then She Stood Back Up.,3034,53
5476168f32613100187b0000,Depression In Teens Looks Almost Nothing Like Depression In Adults,3554,28
547bc865346330001b050000,A Father Wrote His Kid 14 Things To Always Remember. And I Forget 9 Of Them Every Day.,3183,38
547732e66435660018050000,Are You White Or Straight Or A Man? Here's How Not To Be Super Terrible At Helping The Rest Of Us.,3260,14
547cbac1656437001b140000,"It Looks Like He's Just Swimming Around, But Then We Zoom Out And My Breath Leaves My Body Forever",3219,88
547ccd1831376400241e0000,"1. China, 2. Iran, 3. Iraq 4. Saudi Arabia, 5. North Korea, 6. USA?!?",3205,21
547ccd1831376400241e0000,"1. China, 2. Iran, 3. Iraq 4. Saudi Arabia, 5. North Korea, 6. USA?!?",3209,28
547ccd1831376400241e0000,"1. China, 2. Iran, 3. Iraq 4. Saudi Arabia, 5. North Korea, 6. USA?!?",3261,29
547ccd1831376400241e0000,"1. China, 2. Iran, 3. Iraq 4. Saudi Arabia, 5. North Korea, 6. USA?!?",3254,26
547df31a3932330018000000,"Babies Learn Quickly, But Do Smartphones Really Make Them Smarter?",3289,6
547df31a3932330018000000,Does Your Baby Have Their Own Social Media Account? You Might Want To Wait For Them To Use It.,3243,4
5488541f30613269c80b0000,1 Out Of Every 4 Prisoners In The World Are From 1 Country. Wish I Could Say I Was Surprised.,3229,49
547e21c46161330012150000,A Cop Stops A Black Man For Walking With His Hands In His Pockets. Interesting Conversation Ensues.,3049,101
547e98c3653865001e240000,Have Long Hair? I Bet You're Sick Of Strangers Telling You To Do What This Toddler Just Did.,3056,49
547f7f046538650012820000,"Turns Out, Your Kid Using An iPad Or Android Is NOT A Good Idea. Here’s Why.",2995,34
547f7f046538650012820000,There's Some Really Intense Reasons Why Babies Shouldn't  Be Looking At iPads,3015,26
5480963261363300242a0000,"If You're Wondering How To Talk About Black People And White People, Here's 5 Things To Keep In Mind",3082,31
5480c1766332310018550000,"He Thought Living In His Jeep Was Bad, Until He Saw His 37K Student Loan Debt",3091,24
5480ed543638310018100000,They Put 2 Guys In A Room And Made Them Argue Passive-Aggressively For 90 Seconds Or So,4294,44
547e7b12343336001b090000,"Sorry, Toymakers Mass-Producing Warped Body Image, He's Got A Paintbrush And He Knows How To Use It",3493,38
547e7b12343336001b090000,"Maybe Everyone Can't Have A Barbie Like This, But *Everyone* Should See This Barbie",3454,53
5481aaca6637320021040000,They Put 2 Guys In A Room And Made Them Argue Passive-Aggressively For 90 Seconds Or So,3645,40
5481aaca6637320021040000,They Put 2 Guys In A Room And Made Them Argue Passive-Aggressively For 90 Seconds Or So,3624,39
5481b9486163630012050000,"16 Years Ago, A Doctor Published A Study. It Was Completely Made Up, And It Made Us All Sicker.",3619,60
5481b9486163630012050000,"16 Years Ago, A Doctor Published A Study That Lots Of People Swear By. Problem Is, It Was A Fake.",3716,59
5481c1c56637320024120000,"16 Years Ago, A Doctor Published A Study. It Was Completely Made Up, And It Made Us All Sicker.",3648,100
5481c1c56637320024120000,"16 Years Ago, A Doctor Published A Study. It Was Completely Made Up, And It Made Us All Sicker.",3620,82
54821af23233640018310000,You’ll Never Forget The ‘I Have A Dream’ Speech. These Kids Should Go Down In History Too.,3096,21
54821fb23233640015200000,Not Every Flash Mob Has The Guts To Do What They Did. Woah.,3128,70
54821fb23233640015200000,Not Every Flash Mob Has The Guts To Do What They Did. Woah.,3028,94
54836027663239001e260000,They Let A Rape Survivor Tell Her Story. But Then They Took 2 Steps Backward.,3054,30
54836027663239001e260000,They Let A Rape Survivor Tell Her Story. But Then They Took 2 Steps Backward.,2943,28
5485c2dc3831610018220000,How To Easily Avoid Every New Parent’s Worst Nightmare,3059,20
548634a9383161001b630000,A Football Player Hit His Wife On Video. America Saw It. And Now America's Telling Her What To Do.,3045,30
54867cbe3139663574230000,A Football Player Hit His Wife On Video. America Saw It. And Now America's Telling Her What To Do.,3353,23
54867cbe3139663574230000,A Football Player Hit His Wife On Video. America Saw It. And Now America's Telling Her What To Do.,3497,38
54871745643338001b160000,Meet Some People Who Actually Want You To Go To Prison. You'll Be Shocked At Why. Or Not.,3470,40
548723ad6433380015170000,"It's The 4th Biggest Illegal Industry In The World, And In 11 Years, It Will Destroy Itself",3428,67
54874412643338001e470000,A Football Player Hit His Wife On Video. America Saw It. And Now America's Telling Her What To Do.,3433,42
548782d23061320012020000,Don't Freak Out At This Map On Infectious Diseases In The World. It's Good Stuff To Know.,4142,21
548857e732346468b1150000,What Does Trendy Jewelry Have To Do With Her Grandfather's Life's Work? Just You Wait.,3253,9
548857e732346468b1150000,Any Girl Who Has Skipped School For No Good Reason Definitely Hasn’t Seen These Numbers,3265,25
54885dba323464001e3a0000,She's Been Threatened And Called A Traitor. All For Being A Doctor.,3167,14
548857e732346468b1150000,Give A Girl A Book And Strange And Wonderful Things Start To Happen. Just Watch.,3263,14
548860633061320024480000,A Little Reminder For Some Of The White Folks I See On Facebook Talking About Race And Cops,3255,52
5488a71b3138610015100000,Some Numbers Tell Us Why Any Girl Lucky Enough To Go To School Shouldn't Be Skipping Class,3068,15
5488b7e03863370015290000,"When She Asked Him About Bullying, He Gave Her Exactly The Answer She Deserved",3044,60
5488b7e03863370015290000,A Girl Asks A TV Star An Adorable Question About Growing Up. His Answer Is So Sweet And Perfect.,3038,35
5488be3f31386100123b0000,"When People Say, ""But What About The Riots,"" Just Show Them This",2933,39
5488a71b3138610015100000,"For Many Girls Around The World, A Better Life Could Be As Easy As 123 and ABC... Literally",3031,22
5488dd76313861001b3b0000,There’s Nothing Funny About Ferguson. But This Parody Makes It Hard Not To Laugh.,3126,31
5488eebe386337001b620000,Something Alive Is Moving About Half Of The Water In The Oceans,3026,21
5489e6bd6132610015020000,This Is Not Your Typical 'Inspiration Porn' Story About A Man With A Disability. This Is Reality.,3036,27
5489cad23863375a3c350000,I Went To The White House Summit On Student Travel And I Liked What I Heard,2121,6
5489fdb13635370015030000,"Imagine Someone Asking You, ""Why Are You The Way You Are?"" Watch This Person Answer It Perfectly.",3018,25
5489fdb13635370015030000,"Imagine Someone Asking You, ""Why Are You The Way You Are?"" Watch This Person Answer It Perfectly.",3113,16
548abd1538393675ff070000,Some Anti-Abortion Protestors Learn Some Abortion Facts From A Justifiably Angry Pregnant Woman,4563,77
548b1508383936420c040000,Some Anti-Abortion Protestors Learn Some Abortion Facts From A Justifiably Angry Pregnant Woman,3116,65
548b4b3e383936687e110000,Here's A Good Reason To Eat All The Bacon You Want Almost Every Day Of The Week,3047,42
548d9b4c393263001e160000,You Should Have Seen The Face I Made When I Realized How These Evil Companies Are Making Money,3024,49
548d9b4c393263001e160000,You Should Have Seen The Face I Made When I Realized How These Evil Companies Are Making Money,3080,46
548d9de765366100240a0000,"If A Celebrity Like Samuel L. Jackson Puts This Out There, You Know It's Going To Be Big ...",3068,42
548da2073932630015110000,"When A Celebrity Like Samuel L. Jackson Puts This Out There, You Know It's Going To Go Big",3050,45
548efbcf65393300121a0000,No One Has Ever Built A Resort In The Grand Canyon. Will These Guys Be The First?,3136,23
548f15083836390021480000,It's Usually Not Good To Use Toys To Help Kids Fit In. But A Scientist Found The Right Way To Do It.,3073,27
548f30ae383639001b6b0000,"If You've Ever Wondered What Love Actually Looks Like, I'd Suggest You Take A Gander At These Women",2691,27
548f50fa38363900247e0000,Why Spanking Your Kid Might Not Be The Best Thing To Do If You Want Them To Succeed At Life,3053,27
548f30ae383639001b6b0000,I Challenge You To Watch This And Not See Love Every Time They Look At Each Other.,2893,30
548f30ae383639001b6b0000,48 Years Ago It Must've Been *The Real Thing* For These Ladies. It Had To Be.,2811,23
548f79186539330012a50000,A Brilliant Scientist Created The Coolest Toy Ever For This Kid So He Wouldn't Feel Left Out,2866,30
548f79186539330012a50000,A Brilliant Scientist Created The Coolest Toy Ever For This Kid So He Wouldn't Feel Left Out,2763,41
548f79186539330012a50000,A Brilliant Scientist Created The Coolest Toy Ever For This Kid So He Wouldn't Feel Left Out,2924,44
54905ffe3335310021740000,What Really Happens When Women Are The Only Ones In Charge Of The Cash,3498,21
549073c43335310012b80000,She Tried To Relate To Him By Saying That Her Brother Got Their Filipino Nanny Pregnant. Bad Idea.,3513,21
54907b0b3335310012c90000,Find Out The Fastest And Saddest Way To Shrink A Child's Heart. Literally.,4721,45
54907fd96264660015030000,Watch A Coach’s Locker Room Speech That Is Unlike Any You've Heard Before,3523,18
54905ffe3335310021740000,What Really Happens When Women Are The Only Ones In Charge Of The Cash,3576,19
54905ffe3335310021740000,What Really Happens When Women Are The Only Ones In Charge Of The Cash,3649,15
54905ffe3335310021740000,What Really Happens When Women Are The Only Ones In Charge Of The Cash,3532,10
54905ffe3335310021740000,What Really Happens When Women Are The Only Ones In Charge Of The Cash,3586,17
549096fd6264660021260000,"If Anything Can Talk Us Out Of Buying Strawberries In January, It’s This Infographic",3563,24
549096fd6264660021260000,"If Anything Can Talk Us Out Of Buying Strawberries In January, It’s This Infographic",3544,8
549096fd6264660021260000,"If Anything Can Talk Us Out Of Buying Strawberries In January, It’s This Infographic",3571,16
54909d1e6264660012340000,The First 26 Seconds Are Just Upsetting. But After That? It Warmed My Heart.,3516,14
54909d1e6264660012340000,The First 26 Seconds Are Just Upsetting. But After That? It Warmed My Heart.,3611,11
54909d1e6264660012340000,The First 26 Seconds Are Just Upsetting. But After That? It Warmed My Heart.,3625,24
54909d1e6264660012340000,The First 26 Seconds Are Just Upsetting. But After That? It Warmed My Heart.,3574,11
5490c6363736360012070000,Think Violence Against Women Isn’t A Big Deal? Here’s Where That Thought Might Have Come From.,3554,29
5490c6363736360012070000,Think Violence Against Women Isn’t A Big Deal? Here’s Where That Thought Might Have Come From.,3565,39
5490b16562646600244b0000,10 Things You Probably Didn't Know About Vaginas,4522,87
5490b16562646600244b0000,10 Things You Probably Didn't Know About Vaginas,4612,63
5490b16562646600244b0000,10 Things You Probably Didn't Know About Vaginas,4630,81
5490b16562646600244b0000,10 Things You Probably Didn't Know About Vaginas,4482,69
5490b16562646600244b0000,10 Things You Probably Didn't Know About Vaginas,4597,117
5491084930613400182e0000,Been Feeling Irritable And Exceptionally Lazy? Acting Like You're Drunk? Here's How To Fix That.,4162,44
54919a7137363600155a0000,The First 26 Seconds Are Difficult. But After That? 745 People Made My Day.,3030,21
54919a7137363600155a0000,The First 26 Seconds Are Difficult. But After That? 745 People Made My Day.,3074,18
54919a7137363600155a0000,The First 26 Seconds Are Difficult. But After That? 745 People Made My Day.,3012,9
54919992373636001b4a0000,A Brilliant Scientist Created The Coolest Toy Ever For This Kid So He Wouldn't Feel Left Out,3079,28
54919992373636001b4a0000,A Brilliant Scientist Created The Coolest Toy Ever For Some Kids So They Wouldn't Feel Left Out,3083,20
5491c99030613400219a0000,"It's Not Just Hunger Anymore. There's A Bigger, Badder Problem Starting To Encompass All That.",2847,16
5492ef6a62373600156a0000,Further Proof That Being Born A White Man Is A Bit Like Hitting The Lottery,2805,29
54932a423236610024000000,A Tampon Commercial That Shows Just How Confusing Actual Tampon Commercials Are,2892,54
54933e6a6662340015040000,"If She Gets Her Way, Poverty-Stricken Children Will Have Better Options Than What They Have Now",3251,5
5480963261363300242a0000,"If You're Wondering How To Talk About Black People And White People, Here's 5 Things To Keep In Mind",2988,50
549359b23363630012120000,These Differing Takes On 'The Talk' Suggest We Live In 2 Different Americas.,3098,16
549359b23363630012120000,These Differing Takes On 'The Talk' Suggest We Live In 2 Different Americas.,3063,26
549429423261630021130000,A Tampon Commercial That Shows Just How Confusing Actual Tampon Commercials Are,3055,44
549443b93732320018260000,"If You're Wondering How To Talk About Black People And White People, Here's 5 Things To Keep In Mind",2843,35
549443b93732320018260000,"If You're Wondering How To Talk About Black People And White People, Here's 5 Things To Keep In Mind",2844,35
549443b93732320018260000,"If You're Wondering How To Talk About Black People And White People, Here's 5 Things To Keep In Mind",2862,46
549444f23732320024420000,You're Not Allowed To Make Jokes About This Holiday Anymore. Thanks.,3015,17
549444f23732320024420000,This Holiday Was Invented In 1965 But That Doesn't Mean It's Not Real. Okay?,3079,28
549453be37323200245f0000,The Pay Gap Graphic That Shocked The Heck Out Of Me,3004,30
549453be37323200245f0000,The Pay Gap Graphic That Shocked The Heck Out Of Me,3138,30
54947d5f37656200241f0000,I Didn’t Realize How Wrong ‘Baby It’s Cold Outside’ Was Until I Heard This Version,3159,71
549481a43062640024340000,"45 Seconds In, And Suddenly I'm Doubting Everything I Thought I Knew About The Holidays",3134,27
549481a43062640024340000,"45 Seconds In, And Suddenly I'm Doubting Everything I Thought I Knew About The Holidays",2965,25
5495dee237616200152b0000,Everybody Does It Around The Holidays. Here's Why Everyone Should Stop.,3110,43
54972aeb61663662200e0000,This Professor Says We Spend 40% Of Our Lives Doing Something That Could Hurt Us For A Good Reason,2965,20
54972d3061663662240a0000,Quite Possibly The Most Heartwarming Story To Come Out Of All The Ferguson Sadness,3042,15
549737003963300021110000,"He Talks About His Dog So Matter-Of-Factly, You Almost Forget How Truly Remarkable She Is",3065,36
5497389d3963300024220000,Watch It. Listen To The Guys. Watch It Again. Listen To The Women. Then Listen To The Women Again.,3040,48
549832ea663661001e4c0000,Feel Kinda Down About Climate Change? Here's 1 Easy Way To Help.,2914,15
